Year,House_Type,Average_Price
2015,Cluster,529020.73
2015,Condominium,342525.62
2015,Detached House,989914.52
2015,Flat,159706.6
2015,Semi-Detached House,1014529.31
2015,Terraced House,457991.2
2015,Town House,486680.9
2016,Cluster,543265.65
2016,Condominium,349700.4
2016,Detached House,1163622.65
2016,Flat,153586.5
2016,Semi-Detached House,1065123.84
2016,Terraced House,484653.35
2016,Town House,499552.83
2017,Cluster,568449.16
2017,Condominium,348681.64
2017,Detached House,1021037.11
2017,Flat,158915.7
2017,Semi-Detached House,1016457.53
2017,Terraced House,504279.38
2017,Town House,419827.22
2018,Cluster,582882.28
2018,Condominium,332912.75
2018,Detached House,950699.71
2018,Flat,160110.35
2018,Semi-Detached House,1023803.01
2018,Terraced House,485427.66
2018,Town House,514885.19
2019,Cluster,562403.99
2019,Condominium,322492.21
2019,Detached House,964517.79
2019,Flat,152433.04
2019,Semi-Detached House,987337.15
2019,Terraced House,489666.8
2019,Town House,455205.25
2020,Cluster,570850.02
2020,Condominium,326109.9
2020,Detached House,796131.91
2020,Flat,160330.08
2020,Semi-Detached House,962899.22
2020,Terraced House,492333.05
2020,Town House,423227.56
2021,Cluster,587396.73
2021,Condominium,327623.39
2021,Detached House,908413.2
2021,Flat,155653.98
2021,Semi-Detached House,983985.96
2021,Terraced House,502001.82
2021,Town House,441321.13
2022,Cluster,580689.33
2022,Condominium,333592.13
2022,Detached House,856085.41
2022,Flat,167011.72
2022,Semi-Detached House,955786.59
2022,Terraced House,530257.52
2022,Town House,470992.75
2023,Cluster,604302.54
2023,Condominium,346909.86
2023,Detached House,1026802.63
2023,Flat,166499.61
2023,Semi-Detached House,1083192.12
2023,Terraced House,533177.57
2023,Town House,481214.88
2024,Cluster,649584.98
2024,Condominium,363032.97
2024,Detached House,991809.38
2024,Flat,166648.69
2024,Semi-Detached House,1135621
2024,Terraced House,543102.31
2024,Town House,481100.91
2025,Cluster,427308.58
2025,Condominium,323310.17
2025,Detached House,828490.25
2025,Flat,158927.5
2025,Semi-Detached House,989048.1
2025,Terraced House,464386.5
2025,Town House,408699.85
2026,Cluster,429160.78
2026,Condominium,323444.75
2026,Detached House,828688.83
2026,Flat,158950.48
2026,Semi-Detached House,990922.043
2026,Terraced House,463079.98
2026,Town House,408337.75
2027,Cluster,433910.14
2027,Condominium,323478.89
2027,Detached House,828457.43
2027,Flat,159092.16
2027,Semi-Detached House,984944.86
2027,Terraced House,462839.24
2027,Town House,410567.52
2028,Cluster,433367.11
2028,Condominium,323917.50
2028,Detached House,829211.15
2028,Flat,159100.33
2028,Semi-Detached House,990322.46
2028,Terraced House,416973.55
2028,Town House,411618.63
2029,Cluster,428600.49
2029,Condominium,325223.25
2029,Detached House,827907.40
2029,Flat,158539.39
2029,Semi-Detached House,990006.81
2029,Terraced House,461204.82
2029,Town House,411266.58
