Year,Interest_Rate,Inflation_Rate,GDP,Unemployment_Rate,Population,House_Overhang,House_Supply,House_Supply_Log,House_Overhang_Log,District_Encoded,State,House_Type,Predicted_House_Price
2025,3.18,1.77,409448.04,3.4,2094.0,0,0,0.0,0.0,13.426443017335966,Kuala Lumpur,Cluster House,261158.06
2026,3.0,1.88,421388.36,3.3,2120.5,0,0,0.0,0.0,13.426443017335966,Kuala Lumpur,Cluster House,269075.84
2027,3.13,1.93,433328.07,3.5,2147.1,0,0,0.0,0.0,13.426443017335966,Kuala Lumpur,Cluster House,292406.0
2028,3.11,1.94,445267.19,3.4,2173.6,0,0,0.0,0.0,13.426443017335966,Kuala Lumpur,Cluster House,292406.0
2029,3.0,1.95,457205.71,3.4,2200.1,0,0,0.0,0.0,13.426443017335966,Kuala Lumpur,Cluster House,292406.0
2025,3.18,1.77,409448.04,3.4,2094.0,98,8401,9.036225051729327,4.59511985013459,13.426443017335966,Kuala Lumpur,Condominium,468364.54
2026,3.0,1.88,421388.36,3.3,2120.5,75,8401,9.036225051729327,4.330733340286331,13.426443017335966,Kuala Lumpur,Condominium,467911.66
2027,3.13,1.93,433328.07,3.5,2147.1,58,8401,9.036225051729327,4.07753744390572,13.426443017335966,Kuala Lumpur,Condominium,466372.63
2028,3.11,1.94,445267.19,3.4,2173.6,44,8401,9.036225051729327,3.8066624897703196,13.426443017335966,Kuala Lumpur,Condominium,465557.54
2029,3.0,1.95,457205.71,3.4,2200.1,34,8401,9.036225051729327,3.5553480614894135,13.426443017335966,Kuala Lumpur,Condominium,465269.19
2025,3.18,1.77,409448.04,3.4,2094.0,0,108,4.6913478822291435,0.0,13.426443017335966,Kuala Lumpur,Detached House,1698846.5
2026,3.0,1.88,421388.36,3.3,2120.5,0,108,4.6913478822291435,0.0,13.426443017335966,Kuala Lumpur,Detached House,1694737.87
2027,3.13,1.93,433328.07,3.5,2147.1,0,108,4.6913478822291435,0.0,13.426443017335966,Kuala Lumpur,Detached House,1693964.17
2028,3.11,1.94,445267.19,3.4,2173.6,0,108,4.6913478822291435,0.0,13.426443017335966,Kuala Lumpur,Detached House,1693964.17
2029,3.0,1.95,457205.71,3.4,2200.1,0,108,4.6913478822291435,0.0,13.426443017335966,Kuala Lumpur,Detached House,1694737.87
2025,3.18,1.77,409448.04,3.4,2094.0,0,0,0.0,0.0,13.426443017335966,Kuala Lumpur,Flat,237247.26
2026,3.0,1.88,421388.36,3.3,2120.5,0,0,0.0,0.0,13.426443017335966,Kuala Lumpur,Flat,235149.07
2027,3.13,1.93,433328.07,3.5,2147.1,0,0,0.0,0.0,13.426443017335966,Kuala Lumpur,Flat,233887.92
2028,3.11,1.94,445267.19,3.4,2173.6,0,0,0.0,0.0,13.426443017335966,Kuala Lumpur,Flat,233682.16
